name,category
chips_can,food
cereal_box,food
tuna_can,food
milk,food
tomato_soup,food
mustard_bottle,food
red_bowl,kitchen
spoon,kitchen
fork,kitchen
knife,kitchen
plate,kitchen
mug,kitchen
blue_bowl,kitchen
rubik_cube,tools
sponge,tools
wood_block,tools
screrwdriver,tools
tweezer,tools
baseball,balls
tennis_ball,balls
big_tennis_ball,balls
apple,fruits
banana,fruits
lemmon,fruits
orange,fruits
peach,fruits
pear,fruits
cocacola,food
galletas,food
leche,food
pringles,food
lysol,tools
zucaritas,food
harpic,tools
manzana_roja,fruits
manzana_verde,fruits
zote,tools
